codigo_ordem_producao,materia_prima,quantidade,unidade_medida,lote
4713,MP 410,0.05,KG,20201205RA-50
4713,MP 428,0.05,KG,2208115446
4713,MPHM14,0.15,KG,RU009/22
4713,MP 455,2.5,KG,221031
4713,MP 456,3.225,KG,221018
4713,MP 457,11.025,KG,AHB004
4713,MP 500,3.0,KG,084CX
4713,MP 541,2.0,KG,222283411
4714,MP 365,0.05,KG,090701
4714,MP 376,2.75,KG,20220824024
4714,MP 385,0.2,KG,2211123861/001
4714,MP 410,0.05,KG,20201205RA-50
4714,MP 428,0.05,KG,2208115446
4714,MPHM14,0.15,KG,RU009/22
4714,MP 455,2.5,KG,221031
4714,MP 456,3.225,KG,221018
4714,MP 457,11.025,KG,AHB004
4714,MP 500,3.0,KG,084CX
4714,MP 541,2.0,KG,222283411
4715,MP 365,0.05,KG,090701
4715,MP 376,2.75,KG,20220824024
4715,MP 385,0.2,KG,2211123861/001
4715,MP 410,0.05,KG,20201205RA-50
4715,MP 428,0.05,KG,2208115446
4715,MPHM14,0.15,KG,RU009/22
4715,MP 455,2.5,KG,221031
4715,MP 456,3.225,KG,221018
4715,MP 457,11.025,KG,AHB004
4715,MP 500,3.0,KG,084CX
4715,MP 541,2.0,KG,222283411
4716,MP 365,0.05,KG,090701
4716,MP 376,2.75,KG,20220824024
4716,MP 385,0.2,KG,2211123861/001
4716,MP 410,0.05,KG,20201205RA-50
4716,MP 428,0.05,KG,2208115446
4716,MPHM14,0.15,KG,RU009/22
4716,MP 455,2.5,KG,221031
4716,MP 456,3.225,KG,221018
4716,MP 457,11.025,KG,AHB004
